comments,sentiments
terrirism can be spreaded through social media,negative
privecy can also be lost through social media,negative
adiiction of social media is very dangerous and depressing,negative
its can act as a hinder in our personel relation ships,negative
social media is drainong us both mentelly and ohysically,negative
is is simply and essay way to waste our precious time,negative
it gives better exposure to bussiness,positive
target audience can also be attracted through social media,negative
it enhances our bussiness partners,positive
it allows for quality networking among entrepreneurs,positive
it brings togather the diggerent peoples of the worls,positive
Social media TV channels pages provides a lot of information,positive
Social medial is are a source of awareness,positive
They make the people in touch with the world,positive
they connects all parts of world,positive
they are a source of new fashions,positive
they are a source of new cultures and spread ness of new traditions,positive
Any incident happened in the reaches to us with in no time due to socail media,positive
They make the people in love with each other,positive
they are a great source of entertainment ans recreational activities,positive
New songs and moives are displayed on social media,positive
Old traditions and cultures of dramas can be spreaded through socail media,positive
they are a big source to sperd news sperators,positive
Increased Student Collaboration,positive
Increased Student Participation,positive
Team Projects are easier to review,positive
Relying on Social Media for all contact,positive
One gets to meet and intract around the world,positive
It is addictive and can cripple you real life,negative
Social media helps to groom confidence of minors,positive
apart from promoting equality social media also lets people bully others online,negative
Connect anytime,positive
Lacks Emotional Connection,negative
Gives People a License to be Hurtful,negative
Decreases Face to Face Communication Skills,negative
Conveys Inauthentic Expression of Feelings,negative
Diminishes Understanding and Thoughtfulness,negative
Causes Face-to-Face Interactions to Feel Disconnected,negative
Facilitates Laziness,negative
you can customize your news and information discovery experiences by choosing to follow exactly what you want,positive
Its low cost and effective,positive
its a channel used for customer service  business intelligence news messaging help and so much more,positive
social media is a communications channel you can get instant feedback on your marketing campaigns,positive
Social media is all about the sharing so this can work powerfully in your favour,positive
You want data You got it,positive
social media in a marketing campaign you need to invest substantial amounts of time over a long period to see useful result,positive
Some companies choose not to social media for just this reason they are too scared of making a mistake,negative
Students get information about Scholarship on social media,positive
pepleo earn money by social media,positive
"Social media provides academic research to a wider audience, allowing people access to previously inaccessible educational resources",positive
LinkedIn greatly assist companies to find personnel and job seekers to find work,positive
Many people find it easier to share problems and feelings openly when theres minimal risk of identification or real life consequences,positive
No geographic limitations,positive
Social media platforms can act as a great study tool for students,positive
With social media teens can easily find out about what is going on in their neighborhood country and even the entire world,positive
There are many jobs posted and applied for with the use of social media Whether they are part time full time volunteer contract jobs,positive
Social media helps teens keep up to date with the current technology,positive
Teens with disabilities can do all of the activities that their fellow teenagers do on social media,negative
Social media enables the spread of unreliable and false information,negative
Social media lacks privacy and exposes users to government and corporate intrusions,negative
You avoid information overload,positive
Social media allows people to improve their relationships and make new friends,positive
Social media can entice people to waste time,negative
The use of social media is correlated with personality and brain disorders,negative
Social media causes people to spend less time interacting face-to-face,negative
Social media is good for the economy,positive
Social media facilitates cyberbullying,negative
Social media helps people who are socially isolated or shy connect with other people,positive
Corporations and small businesses use social media to benefit themselves and consumers,positive
Colleges and universities use social media to recruit and retain students,positive
Social media is used as a platform for social interaction and communication,positive  
Excessive use of social media and the internet has lead to many behavioural problems,negative
Social media has stolen the time of young people, negative
Social media had affected their privacy and reputation of people, negative  
Users of social media have crucial issues of self-respect peace of mind and sleeping habits, negative
Healthy and productive interaction of people has diminished due to  excessive use of social media, negative
Its a platform of success for many people a voice for voiceless,positive
Social media is a modern way to communicate with old friends,positive 
Mostly unconstructive and fallacious information circulates on social media, negative
The hype created on social media results in mental disturbance of people, negative
Social media has provided an opportunity for students to interact with other professionals across the world,positive
Many awareness campaigns are conducted through social media these days,positive 
Social media websites and posts provide unsafe and hazardous information to its users without any authentication, negative 
The social media users include all age groups but most of them are young people and teenagers Therefore the alcohol branding companies pornography hate speech and violence originating factors target these young people, negative 
An increased level of alcohol consumption and risky behaviour has been observed among social media users ,negative 
Social media might be used as a platform for intervention and prevention efforts,positive 
Social media is a platform used to raise awareness and prevention programs,positive 
Social media is used to provide health information spreading positivity morale building among its users,positive
Social media is a very powerful tool that can educate its users in both a positive and negative manner,positive  
It would be a logical step to expand interventions coupled with the ubiquity of social media to address the unpredictable security concerns and behaviours,positive
Young people waste their nighttime excessively on social media that ultimately affect their sleeping habits health and causes depression and anxiety, negative 
People invest their time emotionally on social media and suffers from loneliness weakening friendships and low self-esteem problems, negative 
Physical interaction has reduced due to social media sites,negative
People have become more aware of their basic rights politics and the economy because of social media,positive
Aged people found new friends on social media sites thus reducing their loneliness to some extent,positive 
In any emergency situation social media plays a backbone role for managing crisis events,positive
Social media has found helpful via dealing with suicide attempts depression and anxiety,positive
People are motivated more about their goals on observing the competition on social media,positive
Social media has empowered many people in bringing positive change to their lives,positive
It provides easy access to academic and research material to the majority of students,positive
Many people can access previously inaccessible educational material with the help of social media,positive
Social media is a good way to utilize your extra time,positive
Social media gives us updates about everything trending on,positive
Social media has increased the competition in people life,positive
It has become a part of the industry revolution,positive
Social media sites provide earning opportunities to its users too,positive 
Users can link their selves to many networking  and professional sites,positive 
Most companies do hiring through social media and job seekers found better opportunities there according to their skills,positive
Professional institutions and departments skilled their learners through online courses and tutorials,positive
Distance learning has become a wider way of educating people across the borders just because of social media,positive
Personal information is leaked on social media, negative
Security breaches are very common while using social media,negative
Through easy accessibilities there is always a security threat to military social activists and journalists, negative
Wastage of time on social media accounts can lead to failure of students, negative
Availability of every kind of literary content on social media can affect youngsters morally and socially, negative
Social media addicts avoid their family time and become emotionally attached to these sites, negative
Despite educational and academic promotions many crimes are also propagated through social media, negative
Criminals mostly target teenagers and students through these sites, negative
Alcohol branding companies target their users through websites and social media accounts, negative
Social media is a popular way of wasting ones time rather utilizing it in some productive work, negative
Sexual harassment has been observed tremendously on social media, negative
Social media provide easy accounts to take revenge sexually abuse and harass others,positive
Privacy is no more maintained using social media, negative
Hackers can steal your official and personal information present on these accounts, negative 
People have become self-centred unconcerned and unproductive by using social accounts, negative
Life has become more public than private, negative
Social media provide easy ways of communication across the globe,positive
You can connect with  people of other culture and communities through social media,positive
Instant messaging and connections are possible just because of social media,positive
A lot of information is available on just a single click,positive
Real-time updates events and news can be enjoyed in any corner of the world,positive
Because of globalization and social media advancement people can expand their business throughout the world,positive
Many companies have started their online store and product selling worldwide with the help of social media,positive
A good platform for creating fun and enjoyment with your friends,positive
Information sharing has become easier just because of social media,positive
Social media is a huge medium of cyberbullying, negative
People become un-real and fake in their social life, negative
Social media is a world of more fakeness than reality, negative
Unhealthy lifestyle and lack of exercise and the physical workout are observed among social media users, negative 
A platform that provides an opinion of other people on many issues,positive
A sense of hype and sensation is created on social media, negative
Improved and easy connectivity is provided by social media,positive
It has brought easiness in our lives,positive
More fraud has been observed on social media dealing, negative
People using social media are found addicts of many criminal practices, negative
Social media has empowered many people and brought drastic changes in their lives,positive
Social media expand and nurture relationships,positive
Social media has overcome the distance and time myth now you can grab anything anywhere at any time,positive 
People get encouragement from their peers on different ideas at social media,positive
Availability of increased health resources and information on single clicks,positive
Social media provide different blogs discussion boards and groups to think analytically and logically that increase the mental health of its users,positive
Many drug addicts can seek advice and support from social media,positive
Social media is a platform for people who want to share their worries depression and problems,positive
You can access all day to help availability of many websites in order to tackle your academic or personal issues,positive
No physical obstacles are present in interacting with people from different countries,positive
Social media and internet have boosted the productivity of many things,positive
Virtual reality has accomplished just because of the advancements of social media,positive
Students can access any information at any time from anywhere in the world,positive
Social media and internet have increased the academic output of students,positive 
Companies advertise their vacancies through the internet and experienced better hiring,positive
Due to the competitive environment on social media employment prospects and job performances have also been improved,positive
The small business owner also benefited from social media and interact with larger companies worldwide,positive
Social media provides opportunities to start an online business from home to many of its users,positive
People can earn through internet and social by freelancing and small startups,positive
World leading business companies have maintained their social media pages and accounts and provide better customer services and hitting more audience,positive
Cyberbullying has frequently observed among social media users,positive
Social media victims are mostly the teenagers or college students who faced abuse and bullying from their peers, negative
You are no more safe if you are using social media stalkers are behind you anytime, negative
People can access your personal information and life and insult you publically on social media, negative
Social media users are blackmailed because blackmailers can easily monitor your habits personal details and friends in contact, negative
You can have a disagreement on any issue and sharing it on social media can leads to your personal abuse and trolling, negative
People spending their time on social media suffers from loneliness and dissatisfied,positive
Teenagers can be misguided about their problems through a bunch of stupids present on social media, negative
People can feed negative thoughts and beliefs in youngsters through their false allegations on social media, negative
People on social media have more negative behaviours, negative
Terrorists can target teens for their monstrous aims, negative
Many terrorist organizations run their social media accounts and target audience for their terrorist activities, negative
Social media is an addiction, negative
Internet and social media addictions lead to many mental and behavioural disorders, negative
Social media users are more antisocial and lack participating in their surrounding activities and events, negative
We are generating a fake generation of social media not good athletes entrepreneurs and philanthropist, negative
Most students waste their time on social media games as well, negative
People with social media addiction become unaware of their family friends and actual social life, negative
Social media generation lack confidence and debating power on crucial issues as they do not physically interact with people, negative
Internet users are found with functional and structural brain abnormalities similar to those who are involved in abusing habits, negative
Social media can boost and improve your mood,positive
Social media is a big platform for entertainment and sensation,positive
With the fake living standards shown at social media people are involved in comparing them with others,positive
Lower self-esteem and jealousy factor have increased among people by using social media abundantly,positive
People develop a sense of inferiority by hearing the success and happiness of other people on social media,positive
A beauty competition has also been observed on social media for becoming perfect Cosmetic companies play with the sentiment of people through their air-brushed model pictures,positive
People have become more possessive about their self-worth just because of social media,positive
Social media allows you only face-to-face communication rather physical interaction,positive
Irresponsible use of social media and internet has affected the studies of students, negative
Content is distributed on social media sites virally without any authentication, negative
Social media can risk someones reputation too easily, negative
Social media is a big source of spreading hate speech pornographic content and indiscreet remarks, negative 
Social media must have some usage limitations, negative
People have become more informed about current affairs due to social media,positive
Social media users are more updated informed and learnt,positive 
Decision making about politics and casting votes has become easier due to social media,positive
Nowadays to win any battle wither socially or politically you must have well prepared social media team,positive
Students do group studies on social media groups,positive
People assist one another in seeking jobs and admission on social media,positive
People skilled themselves with latest and new technologies just because of social media,positive
Productivity level of students and professionals might decrease by wasting their time, negative 
Social media users can disclose personal information of others on public forums , negative
Government companies and department can get their performance reviews from the public through social media,positive
Performance of any department company and business can be improved by conducting surveys on social media,positive
People can share their reservations and positive response about government through social media,positive
People can buy or sell something through social media,positive
People can watch movie serials on social media,positive
A hub of depression, negative
People have become self-centered unconcerned and unproductive by using social accounts,negative
social media has destroyed our chopal system ,negative
The available information is not authentic  ,negative
Time is wasted  due to social media.  ,negative
social media is mean of communication  ,positive
One can find friends on facebook  ,positive
one can share files on facebook  ,positive
On Twitter one can give its openion   by tweet             positive  ,positive
There are errors in the Codes available on social media. negative  ,negative
people can easily mention there problems  ,positive
One can update its status on facebook  ,positive
Facebook acounts can be Hacked  ,negative
Twiter is enforcing govt to right direction  ,positive
Social media make the world global village  ,positive
Vedio calls now can be done by social media  ,positive
socail media may lead the young generation towards wrong way.  ,negative
Social media can help in study by study groups  ,positive
Advertisement of products can be done by social media   ,positive
Products can be sell on social media.  ,positive
social media is not properly monitored  ,negative
social media is key factor of entertainment  ,positive
 it has become quite easy for anyone to bully on the Internet  ,negative
Addiction The addictive part of the social media is very bad and can disturb personal lives as well  ,negative
Connectivity The first and main advantage of the social media is connectivity.  ,positive
people follow others who are wealthy or drug addicted and share their views and videos on the web  ,negative
social media is helping students and teachers  ,positive
Social Media causes death Not just by using it  ,negative
You can share your issues with the community to get help and giddiness  ,positive
Health Issues The excess usage of social media can also have a negative impact on the health  ,negative
The main advantage of the social media is that you update yourself from the latest happenings around in the world  ,positive
you canpromote your business to the largest audience  ,positive
Most of the people have used the social media platform to propose and marry each other  ,negative
Social media can also be used for the noble causes. For example  ,positive
Social media also create awareness and innovate the way people live.  ,positive
Several examples are available where individuals have scammed and commit fraud through the social media  ,negative
It is also one of the advantages of the social media that it helps Governments and Security Agencies to spy andcatch criminals to fight crime  ,positive
Social media helps in building and participating in the community of own religion and believes to discuss and learn about it.  ,positive
against islamic data is hurting muslims  ,negative
depends on use  ,positive
facebook is not useful  ,negative
facebook is bad.  ,negative
facebook is usefull  ,positive
On fb one can run a movement  ,positive
fb account can be fake  ,negative
I love youtube  ,positive
I hate fb  ,negative
I love fb  ,positive
find new friends via fb  ,positive
all depends on situation  ,positive
it may make someone hopeless  ,negative
social media does not injure anyone  ,positive
does more bad  ,negative
social media injured by challenging someone  ,negative
threads can be given by fb  ,negative
job search  ,positive
social media is harmfull for society more  ,negative
negativeitivity can spread through it  ,negative
social media helps to raise society problems  ,positive
it make world global village  ,positive
fake  ,negative
bad news  ,negative
fb is not financially usefull  ,negative
spread thoughts by fb  ,positive
spread negative thougts  ,negative
convey message  ,positive
convey bad message  ,negative
improve knowledge  ,positive
interact new people by fb  ,negative
why people use it more time  ,negative
I hate time wasting  ,positive
I love to use fb in free  ,positive
I love share files by fb  ,positive
twitter is used by uper calss  ,negative
twitter war is bad  ,positive
twitter discussion is good  ,positive
taking views of people  ,negative
depression can done by fb  ,negative
controls mind towards wrong way  ,positive
raise your voice by social media  ,negative
cause destruction   ,negative
against ethics to use it every time  ,positive
spread quallity of someone by socialmedia  ,negative
social media overall is not good for me  ,negative
make people dull  ,negative
personel information is note safe  ,positive
earning can be done by socail media  ,positive
latest news  ,positive
connect to family  ,positive
share your feelings  ,positive
educational help  ,positive
fake news  ,negative
use it effectively  ,positive
you recognize your followers are going to obtain your message through tweet. ,positive
tweets are not time consuming.,positive
you can get in touch with almost every corner of the earth.,positive
it is simple to track the records composed through twitter.,positive
you do not have to hang about with twitter to reach people.,positive
you do not need to utilize link cutting tools.,positive
you can use twitter for business.,positive
it is simple to expand the reach of your business.,positive
it is easy to share your message with other companies.,positive
twitter does a huge job of getting to the newer generations for business.,positive
it can be without charge.,positive
many persons have hundreds if not thousands of profiles that they follow.,negative
you never recognize how lively a follower account is going to be.,negative
twitter for company is unreasonably addictive.,negative
it is simple to become unfocused on twitter.,negative
be careful of the spam.,negative
the time implicated may not be value the actual expenditure for some companies.,negative
more publicity for your brand will mean more harmful relations.,negative
accidents with your twitter account can and will occur.,negative
it is difficult to differentiate between a troll and a alarmed follower.,negative
twitter for company can at times undergo from reliability issues.,negative
nothing is going to occur without delay.,negative
get a wide spectators.,positive
bring customer service.,positive
brand uniqueness,positive
feedback,positive
resources,negative
negative feedback(criticism),negative
time sensitive,negative
spam,negative
character boundaries,negative
you can make a lot of accounts as you need/want.,positive
twitter can facilitate customers feel a link with you.,positive
"twitter has rolled out an ""algorithmically generated"" timeline.",positive
twitter do not crop photos anymore on timeline.,positive
twitter has extended a feature named as moments.,positive
twitter has introduced 'safe search.,positive
twitter  prevents 'banned users' from making new accounts.,positive
because twitter is simple your account has to be lean and mean.,negative
"twitter has no ""edit tweet"" button.",negative
the wrong twitter-brand strategy could harm your party's reputation.,negative
twitter celebrates birthdays with multicolor balloons,positive
hard to make following,negative
extend your business reach.,positive
it is simple to use and extremely interactive.,positive
it is easy to get from anywhere.,positive
it is perfect for micro-elearning.,positive
it provides opportunities for real time debate.,positive
it is great for linking with your newer and younger audience.,positive
it is a scheming tool for elearning professionals networking.,positive
it is used to obtain elearning feedback.,positive
it can construct a strong group of people among your learners.,positive
tweets are just like moments in life.,negative
it dont allow to send multiple people at same time.,negative
it is not perfect medium for visual content.,negative
it doesnt records content and chats.,negative
reduce promotion costs,positive
increase sales,positive
increased traffic to your businesss website,positive
improved position on search engines,positive
greater consumer engagement,positive
greater entrance to international markets,positive
opportunity for consumer feedback,positive
opportunity to carry out market research about your customers,positive
improved networking opportunities with consumers and other companies.,positive
not having a clear advertising or social media plan may result in limited benefits for your company.,negative
additional funds and staff may be needed to supervise your online existence.,negative
social media is direct and needs timely(daily) monitoring.,negative
if you do not actively control your social media occurrence you may not get any real benefits.,negative
risk of unnecessary or inappropriate manners on your site including discrimination and harassment.,negative
greater publicity online has the ability to attract risks and it can include negative feedback(critics) hacking  or information leaks.,negative
confidence may suffer.,negative
it saps efficiency.,negative
everyone is watching,negative
it can be appealing to rubbish talk.,negative
it is an simple way to send ideas to followers and get the news.,positive
its great for publicity.,positive
great for self-promotion... but good for promoting others.,positive
it may be used to forecast the future (kind of).,positive
twitter analytics,positive
share ideas and get to news,positive
hashtag power,positive
